iter	Logloss
0	0.6862876121
1	0.6814268305
2	0.675360176
3	0.6700637474
4	0.6639503736
5	0.6583173087
6	0.6534403254
7	0.6482756968
8	0.6436750005
9	0.6392226487
10	0.6342877163
11	0.6293067075
12	0.6245909273
13	0.6201888524
14	0.6158253102
15	0.6121338405
16	0.6072457989
17	0.6028326656
18	0.5992733387
19	0.5945613304
20	0.5907639921
21	0.5874410908
22	0.5830673904
23	0.5810306849
24	0.5774141805
25	0.573317367
26	0.5701544258
27	0.5668583559
28	0.5637341617
29	0.5619523981
30	0.5591842994
31	0.5566725142
32	0.5528925778
33	0.5500351981
34	0.5467696886
35	0.5436073046
36	0.5416091747
37	0.5400163886
38	0.5368294877
39	0.534010855
40	0.5313593404
41	0.5284202661
42	0.5256081913
43	0.5227756286
44	0.5207328796
45	0.5181028388
46	0.5153295967
47	0.5125383527
48	0.5101945856
49	0.5083325847
50	0.506186796
51	0.5037301739
52	0.5017180711
53	0.4997301423
54	0.4976129853
55	0.4959278321
56	0.4936812326
57	0.4914344616
58	0.4892654848
59	0.4879630442
60	0.4864630538
61	0.484451594
62	0.4835791427
63	0.4826037375
64	0.4809135694
65	0.4792153005
66	0.477298608
67	0.4753045071
68	0.4740981627
69	0.4721011473
70	0.4710563488
71	0.4694921944
72	0.4679554286
73	0.466423549
74	0.4644727385
75	0.4633423023
76	0.4620291463
77	0.4603243196
78	0.4585936043
79	0.4569513128
80	0.4558111469
81	0.4546759102
82	0.4529619967
83	0.4515776045
84	0.4502075281
85	0.4491577148
86	0.4485423913
87	0.4469166445
88	0.4455176793
89	0.4442054663
90	0.4429464019
91	0.441636332
92	0.4401567438
93	0.4392878929
94	0.4383245747
95	0.4369537268
96	0.4360427428
97	0.4348970478
98	0.4344463563
99	0.433118113
100	0.4320602417
101	0.4311461717
102	0.430158808
103	0.4290790344
104	0.4284730118
105	0.4275216949
106	0.4265830222
107	0.4257554472
108	0.4247830423
109	0.4238989326
110	0.4231233061
111	0.4226481406
112	0.4217713602
113	0.4211796536
114	0.4201486137
115	0.4191535778
116	0.4184894347
117	0.4178929704
118	0.4172877622
119	0.4165253371
120	0.4160496572
121	0.4153724413
122	0.4144947609
123	0.413562046
124	0.4129216912
125	0.4125736537
126	0.4121791111
127	0.4115426139
128	0.4109058166
129	0.4101641366
130	0.4097005008
131	0.4089863809
132	0.4082310709
133	0.407637864
134	0.4072132754
135	0.4063829143
136	0.4058956189
137	0.4051253072
138	0.4045423443
139	0.4042076368
140	0.4037521877
141	0.4032925809
142	0.4028316455
143	0.4021301698
144	0.4016111567
145	0.4008835353
146	0.4001732301
147	0.3995316323
148	0.3990283923
149	0.3985408397
150	0.3982355782
151	0.3980349423
152	0.3975943233
153	0.3970319341
154	0.3963655622
155	0.3959339013
156	0.3951674901
157	0.3945842271
158	0.3940924312
159	0.3935316279
160	0.3931136399
161	0.3924668987
162	0.3917313908
163	0.3910702052
164	0.3909119167
165	0.390735069
166	0.3901850668
167	0.3896833698
168	0.3893215737
169	0.3885995243
170	0.3882587733
171	0.3877609339
172	0.3872321482
173	0.3867292083
174	0.3860867104
175	0.3859357941
176	0.3857416732
177	0.3853344006
178	0.3850101942
179	0.3848289747
180	0.384418659
181	0.3840916666
182	0.3838437541
183	0.3834449682
184	0.3831583516
185	0.3829043956
186	0.3825694309
187	0.3822597547
188	0.3817089809
189	0.3813656582
190	0.3810413232
191	0.3804853632
192	0.3802477376
193	0.3799913385
194	0.3798533236
195	0.3794469941
196	0.3793749434
197	0.3791845086
198	0.3787932664
199	0.3783683348
200	0.3780263836
201	0.3775349735
202	0.3770129172
203	0.3768393699
204	0.3763814348
205	0.3760443698
206	0.3755510737
207	0.3750681502
208	0.3748123083
209	0.3744299385
210	0.3743433149
211	0.3739986634
212	0.3736436394
213	0.3735866761
214	0.373250897
215	0.3727585439
216	0.3722601901
217	0.3718604613
218	0.3715551141
219	0.3712048477
220	0.3708920425
221	0.3706866918
222	0.370459053
223	0.3701304746
224	0.3698278277
225	0.3694602023
226	0.3689691351
227	0.3686818755
228	0.3685657201
229	0.3681897367
230	0.3681617908
231	0.3678961765
232	0.3675575685
233	0.3674425275
234	0.3671642689
235	0.366918971
236	0.3667260502
237	0.366452335
238	0.3661508453
239	0.3659926425
240	0.3657522309
241	0.3655467516
242	0.3652040717
243	0.3648655066
244	0.3646925594
245	0.3645169547
246	0.3642079214
247	0.3639733818
248	0.3634258656
249	0.3632479464
250	0.3631964266
251	0.3627342481
252	0.3624292438
253	0.3622876285
254	0.3619986545
255	0.3616850778
256	0.3613453554
257	0.3609830449
258	0.3607207738
259	0.3605051791
260	0.360316673
261	0.3601544412
262	0.3598491369
263	0.3596408715
264	0.3594475221
265	0.3591708494
266	0.359048179
267	0.3588881761
268	0.3585303017
269	0.3582344269
270	0.3579269581
271	0.3576796671
272	0.3574166244
273	0.3572917252
274	0.3569819847
275	0.3567682973
276	0.3564687793
277	0.3563746549
278	0.3560784801
279	0.3559235776
280	0.3556074507
281	0.3552913237
282	0.355138843
283	0.3550862945
284	0.3546866085
285	0.3545217193
286	0.3541845686
287	0.3539109391
288	0.3535934834
289	0.3533358413
290	0.3531061237
291	0.3526675621
292	0.3525703087
293	0.3523822527
294	0.3523581001
295	0.3522031977
296	0.35199939
297	0.3516638466
298	0.351442337
299	0.3511151089
300	0.3508086901
301	0.3506229701
302	0.3503554483
303	0.3501262022
304	0.3499004921
305	0.3496777395
306	0.3494624449
307	0.3494387852
308	0.3493356383
309	0.3491348952
310	0.3489387812
311	0.3486644016
312	0.3484446708
313	0.3482236755
314	0.347773134
315	0.3475192852
316	0.3473270716
317	0.3471424231
318	0.3470050726
319	0.3467287642
320	0.3464823734
321	0.3462187092
322	0.3460073793
323	0.345861585
324	0.3457791832
325	0.3455913415
326	0.345575847
327	0.3454706428
328	0.345381726
329	0.3450389819
330	0.3449638881
331	0.3447885835
332	0.3445593802
333	0.3443085103
334	0.3440114139
335	0.3439436923
336	0.3436901435
337	0.3435691233
338	0.3435567792
339	0.3434456815
340	0.3432933079
341	0.3432121063
342	0.3431671657
343	0.3430014192
344	0.3428793704
345	0.34273019
346	0.3426786487
347	0.3425811168
348	0.3424120914
349	0.3420969931
350	0.3420676756
351	0.341863225
352	0.3416610032
353	0.3415292033
354	0.3413211737
355	0.3410262633
356	0.3407607346
357	0.3404412645
358	0.3401858298
359	0.3399517188
360	0.3396955769
361	0.3396092104
362	0.3394393492
363	0.3390839823
364	0.3389884006
365	0.3387491462
366	0.3385792207
367	0.3384081594
368	0.3382307546
369	0.3380394411
370	0.3379436021
371	0.3378550069
372	0.3375164203
373	0.3375031118
374	0.3371874349
375	0.3371196704
376	0.3369142554
377	0.3366544273
378	0.3364495267
379	0.3364316105
380	0.3363343142
381	0.3360161085
382	0.3358108649
383	0.3356253378
384	0.3354551765
385	0.335218751
386	0.335045911
387	0.3348246799
388	0.334806378
389	0.334734906
390	0.3344726134
391	0.3342506752
392	0.33396453
393	0.3336896789
394	0.3334096844
395	0.3333643795
396	0.3332706837
397	0.3332572251
398	0.333182367
399	0.3330346868
400	0.332994954
401	0.332849824
402	0.332675891
403	0.3324592462
404	0.332399304
405	0.3320868203
406	0.3318006537
407	0.3314254418
408	0.3312771401
409	0.3312202625
410	0.331141354
411	0.3310265273
412	0.3306881337
413	0.3304990276
414	0.330282297
415	0.3299335094
416	0.3297224152
417	0.3296208757
418	0.3294801176
419	0.329340474
420	0.3292586294
421	0.3291297013
422	0.3291059344
423	0.3288533714
424	0.3284771094
425	0.3282458059
426	0.3280649078
427	0.3278311183
428	0.3277165702
429	0.3276981825
430	0.3276137877
431	0.3274984038
432	0.3273794624
433	0.3271905492
434	0.3270815303
435	0.3269846198
436	0.3268117583
437	0.3266059361
438	0.3264829014
439	0.3263358427
440	0.3261178263
441	0.326051712
442	0.325813915
443	0.3256773359
444	0.3255440573
445	0.3254914444
446	0.3253957556
447	0.3251338059
448	0.3249940765
449	0.3247290193
450	0.3246176216
451	0.3244343661
452	0.3243148247
453	0.3241429275
454	0.3240053841
455	0.3239359052
456	0.3238137063
457	0.3236464168
458	0.3234718837
459	0.3234076768
460	0.3233041228
461	0.3232174563
462	0.3231307469
463	0.3230784127
464	0.3229680865
465	0.3227317896
466	0.3226186131
467	0.3225169664
468	0.3224087833
469	0.3221751652
470	0.3219061862
471	0.3217012213
472	0.3216180694
473	0.3213989386
474	0.3211281166
475	0.3209696566
476	0.3208738177
477	0.3207528832
478	0.3204415139
479	0.3202329057
480	0.3201342808
481	0.3200127248
482	0.3198418349
483	0.3196590295
484	0.3195581329
485	0.31943842
486	0.3190731306
487	0.3189425522
488	0.3189362515
489	0.318758268
490	0.3186870746
491	0.3185855137
492	0.3184823025
493	0.3181379297
494	0.318019224
495	0.3177230492
496	0.317449934
497	0.3173086188
498	0.3172436403
499	0.3171145836
500	0.3169515803
501	0.3168734004
502	0.3168191803
503	0.316728099
504	0.3165804617
505	0.3163486009
506	0.3162679994
507	0.3161770896
508	0.3160255732
509	0.3159254481
510	0.3158634057
511	0.3156707849
512	0.3155469573
513	0.3154615767
514	0.3153719313
515	0.3153136178
516	0.3152357809
517	0.3149857682
518	0.3148203646
519	0.3147983337
520	0.3146869359
521	0.314575924
522	0.3145675445
523	0.3144410166
524	0.3143018658
525	0.3140653332
526	0.3137534709
527	0.3135983971
528	0.3133887602
529	0.3133414193
530	0.3132196276
531	0.3129889242
532	0.3128713115
533	0.3125499125
534	0.3123910025
535	0.3123704717
536	0.3121875377
537	0.3121569987
538	0.3119965671
539	0.3118878054
540	0.3117763005
541	0.3116903412
542	0.3115165796
543	0.311468553
544	0.3112819114
545	0.3112094322
546	0.3109889513
547	0.3107698419
548	0.3105051705
549	0.310359912
550	0.3102489643
551	0.3102166679
552	0.3102002948
553	0.3099108707
554	0.3097548967
555	0.3095972511
556	0.3095101774
557	0.3093941935
558	0.309167369
559	0.3090733517
560	0.3088744731
561	0.3086516777
562	0.308447077
563	0.3082095371
564	0.3079935352
565	0.3078991322
566	0.3077399436
567	0.3076629424
568	0.3074507553
569	0.3072839373
570	0.307175347
571	0.3071042822
572	0.3069456293
573	0.3067611952
574	0.3065950844
575	0.3065248125
576	0.3062077426
577	0.3060756855
578	0.305920183
579	0.305781268
580	0.305617386
581	0.3055725741
582	0.3054045345
583	0.3053022663
584	0.3052366235
585	0.3050500463
586	0.3049440277
587	0.3047879251
588	0.3045969331
589	0.3044219928
590	0.304265033
591	0.3041470774
592	0.3038810987
593	0.3037738586
594	0.3037390548
595	0.3034654253
596	0.3033576494
597	0.3032302428
598	0.3031347253
599	0.3030458086
600	0.3029738651
601	0.3028539165
602	0.3026838195
603	0.3025814871
604	0.3024733468
605	0.3022981494
606	0.3022134974
607	0.3021365605
608	0.3020226125
609	0.3019359031
610	0.3018066321
611	0.3016400927
612	0.3015024421
613	0.3013842722
614	0.3012808253
615	0.3011359311
616	0.3010997558
617	0.3010286267
618	0.300764984
619	0.3006102315
620	0.3005422099
621	0.3005145641
622	0.3003447672
623	0.3002737881
624	0.3000947974
625	0.2999425524
626	0.2997503388
627	0.2996899037
628	0.2995976223
629	0.2995230857
630	0.299418503
631	0.2992835527
632	0.299211052
633	0.2989814844
634	0.2989324505
635	0.2987760908
636	0.2987374724
637	0.2985401368
638	0.2982787657
639	0.2981293925
640	0.29784194
641	0.2977252274
642	0.2975680319
643	0.2974343032
644	0.2972936952
645	0.2971592592
646	0.2971334136
647	0.2969001599
648	0.2966435893
649	0.2963952697
650	0.2963372563
651	0.2962148431
652	0.2959965052
653	0.2959546721
654	0.2958809285
655	0.2956304443
656	0.2954369663
657	0.295243424
658	0.2951135528
659	0.2950197927
660	0.294931476
661	0.2946465739
662	0.2945445843
663	0.2942157488
664	0.2941609929
665	0.293983438
666	0.2938038687
667	0.2936952784
668	0.2935876739
669	0.2934829626
670	0.2932818552
671	0.2931611993
672	0.2929316746
673	0.2927102507
674	0.2925937095
675	0.2924513013
676	0.2923035139
677	0.2922893267
678	0.2921037567
679	0.291845986
680	0.2916860259
681	0.2916077817
682	0.2915936159
683	0.2914608302
684	0.2913060563
685	0.2912087173
686	0.2911489251
687	0.2910428851
688	0.2909079562
689	0.2908267761
690	0.2906164319
691	0.290457822
692	0.2903231932
693	0.290076438
694	0.2898271539
695	0.2897196995
696	0.2894633432
697	0.2893629181
698	0.2892776875
699	0.2891261497
700	0.2890357114
701	0.2888398546
702	0.2887555669
703	0.2885892632
704	0.2885052113
705	0.2883310211
706	0.2882748722
707	0.2881793762
708	0.2880697786
709	0.2879859196
710	0.287888902
711	0.2877926344
712	0.2875950203
713	0.2874815437
714	0.2872423536
715	0.2870204797
716	0.286905203
717	0.2867424354
718	0.2866419674
719	0.286579475
720	0.2864716991
721	0.2864498824
722	0.2864048776
723	0.2863322483
724	0.2861308409
725	0.2860914509
726	0.2860299014
727	0.2857668373
728	0.2856234647
729	0.285542756
730	0.2852578967
731	0.2850746841
732	0.2850053123
733	0.2849411268
734	0.2847154596
735	0.2845038725
736	0.2843624929
737	0.2842215849
738	0.2840420584
739	0.2839244242
740	0.2838419368
741	0.2836613387
742	0.283591324
743	0.2834411793
744	0.2833101508
745	0.2832397504
746	0.2830750112
747	0.2829707714
748	0.2828179906
749	0.2826677601
750	0.2825974454
751	0.2824944914
752	0.2824070105
753	0.2822289413
754	0.2821508043
755	0.2820562727
756	0.2819387457
757	0.2817026203
758	0.2815692344
759	0.281426119
760	0.2812775601
761	0.2810058165
762	0.2809571255
763	0.2806789955
764	0.2805975153
765	0.2802395338
766	0.2802299542
767	0.279972505
768	0.2798186956
769	0.2797175204
770	0.2795445303
771	0.2793105479
772	0.2791732831
773	0.2791439014
774	0.2789388507
775	0.2788965461
776	0.2787962924
777	0.2787254848
778	0.2785553236
779	0.2784026285
780	0.2783188338
781	0.2780582771
782	0.27797969
783	0.2778780862
784	0.2777793756
785	0.2775483935
786	0.2774165936
787	0.2773287484
788	0.2772728352
789	0.277124062
790	0.2769891546
791	0.2768888366
792	0.2766094422
793	0.2764238508
794	0.2762335016
795	0.2761355196
796	0.2760632976
797	0.2759527999
798	0.2758717912
799	0.2756088985
800	0.2755549784
801	0.2753407768
802	0.2751970184
803	0.2751394979
804	0.2749815309
805	0.2748697688
806	0.2747553708
807	0.2745688363
808	0.2744464231
809	0.2743912172
810	0.2742268852
811	0.2741513199
812	0.2739907168
813	0.273839672
814	0.2736912845
815	0.2736275062
816	0.2734367499
817	0.2732579306
818	0.2732177049
819	0.2731934022
820	0.2730316419
821	0.2729282379
822	0.2727321882
