iter	Passed	Remaining
282	948	2401
283	950	2395
284	953	2392
285	956	2388
286	960	2385
287	963	2381
288	966	2377
289	969	2373
290	972	2369
291	976	2367
292	978	2362
293	982	2358
294	984	2353
295	988	2350
296	992	2348
297	996	2346
298	999	2343
299	1003	2341
300	1006	2337
301	1010	2334
302	1013	2331
303	1016	2327
304	1019	2323
305	1022	2319
306	1025	2315
307	1027	2309
308	1031	2305
309	1033	2301
310	1037	2297
311	1040	2293
312	1043	2290
313	1046	2286
314	1049	2282
315	1052	2279
316	1056	2275
317	1059	2272
318	1062	2268
319	1065	2264
320	1068	2260
321	1071	2256
322	1074	2252
323	1077	2248
324	1081	2245
325	1083	2241
326	1086	2235
327	1089	2232
328	1093	2229
329	1096	2225
330	1100	2223
331	1103	2219
332	1106	2216
333	1109	2212
334	1113	2209
335	1116	2207
336	1119	2202
337	1122	2199
338	1124	2192
339	1127	2188
340	1130	2184
341	1133	2180
342	1136	2176
343	1139	2172
344	1142	2168
345	1145	2164
346	1147	2159
347	1150	2155
348	1153	2150
349	1156	2147
350	1158	2141
351	1160	2136
352	1163	2133
353	1166	2128
354	1169	2124
355	1172	2120
356	1175	2117
357	1178	2113
358	1181	2109
359	1184	2105
360	1187	2101
361	1190	2098
362	1194	2095
363	1197	2092
364	1200	2089
365	1204	2085
366	1207	2082
367	1210	2078
368	1213	2075
369	1216	2071
370	1219	2068
371	1222	2064
372	1225	2060
373	1227	2054
374	1230	2051
375	1233	2047
376	1236	2043
377	1239	2039
378	1242	2035
379	1244	2030
380	1247	2026
381	1250	2022
382	1253	2018
383	1256	2014
384	1259	2011
385	1262	2007
386	1265	2004
387	1268	2000
388	1270	1995
389	1272	1990
390	1276	1987
391	1278	1983
392	1281	1979
393	1284	1976
394	1287	1972
395	1290	1968
396	1293	1964
397	1295	1958
398	1297	1954
399	1300	1951
400	1304	1947
401	1307	1944
402	1310	1940
403	1312	1936
404	1316	1933
405	1319	1929
406	1322	1926
407	1324	1922
408	1327	1918
409	1330	1915
410	1333	1911
411	1336	1907
412	1339	1904
413	1342	1900
414	1345	1896
415	1348	1893
416	1351	1889
417	1354	1885
418	1357	1882
419	1360	1878
420	1363	1874
421	1365	1870
422	1368	1866
423	1371	1862
424	1374	1859
425	1377	1856
426	1382	1854
427	1385	1851
428	1387	1847
429	1390	1842
430	1392	1838
431	1395	1835
432	1399	1832
433	1402	1829
434	1406	1826
435	1410	1824
436	1413	1821
437	1416	1818
438	1420	1814
439	1423	1811
440	1426	1807
441	1428	1803
442	1432	1800
443	1435	1797
444	1438	1794
445	1441	1791
446	1445	1787
447	1448	1784
448	1451	1781
449	1454	1778
450	1458	1775
451	1461	1772
452	1465	1769
453	1468	1766
454	1472	1763
455	1475	1759
456	1478	1756
457	1481	1753
458	1485	1750
459	1489	1748
460	1493	1746
461	1497	1744
462	1501	1741
463	1504	1738
464	1507	1734
465	1511	1731
466	1514	1728
467	1518	1726
468	1522	1723
469	1525	1720
470	1529	1717
471	1532	1714
472	1535	1710
473	1538	1707
474	1541	1704
475	1545	1701
476	1548	1698
477	1552	1695
478	1555	1691
479	1558	1688
480	1561	1684
481	1564	1681
482	1567	1677
483	1570	1674
484	1574	1671
485	1577	1668
486	1580	1664
487	1583	1661
488	1585	1657
489	1589	1653
490	1591	1649
491	1595	1647
492	1598	1643
493	1601	1640
494	1604	1636
495	1607	1633
496	1610	1630
497	1613	1626
498	1616	1623
499	1619	1619
500	1622	1615
501	1624	1611
502	1627	1608
503	1630	1604
504	1633	1601
505	1636	1597
506	1639	1594
507	1642	1590
508	1645	1587
509	1648	1583
510	1651	1580
511	1654	1576
512	1657	1573
513	1660	1569
514	1662	1565
515	1665	1562
516	1668	1558
517	1671	1555
518	1675	1552
519	1677	1548
520	1680	1545
521	1683	1541
522	1685	1537
523	1689	1534
524	1692	1531
525	1695	1528
526	1698	1524
527	1701	1521
528	1704	1517
529	1707	1513
530	1710	1510
531	1713	1507
532	1717	1504
533	1721	1501
534	1724	1498
535	1727	1495
536	1730	1492
537	1733	1489
538	1737	1485
539	1740	1482
540	1744	1479
541	1747	1476
542	1751	1473
543	1754	1470
544	1757	1467
545	1761	1464
546	1764	1461
547	1768	1458
548	1771	1455
549	1775	1452
550	1779	1450
551	1782	1447
552	1785	1443
553	1789	1441
554	1793	1437
555	1796	1434
556	1800	1431
557	1803	1428
558	1807	1425
559	1810	1422
560	1813	1419
561	1816	1415
562	1820	1412
563	1823	1409
564	1826	1406
565	1830	1403
566	1833	1400
567	1837	1397
568	1841	1394
569	1844	1391
570	1847	1388
571	1851	1385
572	1854	1382
573	1857	1378
574	1860	1375
575	1864	1372
576	1867	1369
577	1871	1366
578	1874	1362
579	1877	1359
580	1881	1356
581	1884	1353
582	1887	1349
583	1890	1346
584	1893	1343
585	1896	1339
586	1899	1336
587	1902	1333
588	1905	1329
589	1908	1326
590	1911	1322
591	1914	1319
592	1917	1315
593	1920	1312
594	1923	1308
595	1926	1305
596	1928	1301
597	1931	1298
598	1934	1295
599	1937	1291
600	1940	1288
601	1943	1284
602	1946	1281
603	1949	1277
604	1951	1274
605	1955	1271
606	1958	1267
607	1962	1264
608	1965	1261
609	1968	1258
610	1971	1255
611	1974	1252
612	1978	1248
613	1981	1245
614	1984	1242
615	1988	1239
616	1990	1235
617	1993	1232
618	1996	1228
619	1999	1225
620	2002	1222
621	2005	1218
622	2008	1215
623	2011	1211
624	2014	1208
625	2017	1205
626	2019	1201
627	2022	1198
628	2025	1194
629	2028	1191
630	2031	1187
631	2034	1184
632	2037	1181
633	2043	1179
634	2046	1176
635	2048	1172
636	2051	1169
637	2054	1165
638	2057	1162
639	2060	1158
640	2063	1155
641	2066	1152
642	2069	1148
643	2072	1145
644	2075	1142
645	2077	1138
646	2080	1135
647	2083	1131
648	2086	1128
649	2089	1125
650	2092	1121
651	2095	1118
652	2098	1114
653	2100	1111
654	2103	1107
655	2106	1104
656	2109	1101
657	2111	1097
658	2114	1094
659	2117	1090
660	2120	1087
661	2123	1084
662	2125	1080
663	2128	1077
664	2131	1073
665	2134	1070
666	2137	1067
667	2140	1063
668	2143	1060
669	2146	1057
670	2149	1053
671	2152	1050
672	2154	1047
673	2158	1043
674	2161	1040
675	2163	1037
676	2166	1033
677	2168	1029
678	2171	1026
679	2174	1023
680	2177	1020
681	2181	1017
682	2185	1014
683	2188	1010
684	2191	1007
685	2195	1004
686	2197	1001
687	2200	998
688	2203	994
689	2206	991
690	2209	987
691	2212	984
692	2215	981
693	2218	978
694	2220	974
695	2223	971
696	2226	967
697	2229	964
698	2232	961
699	2235	957
700	2237	954
701	2240	951
702	2243	947
703	2246	944
704	2249	941
705	2251	937
706	2254	934
707	2257	931
708	2260	927
709	2264	924
710	2267	921
711	2270	918
712	2273	915
713	2276	911
714	2279	908
715	2282	905
716	2284	901
717	2287	898
718	2290	895
719	2293	891
720	2296	888
721	2299	885
722	2302	881
723	2304	878
724	2307	875
725	2310	872
726	2313	868
727	2316	865
728	2319	862
729	2322	859
730	2326	855
731	2328	852
732	2331	849
733	2334	846
734	2338	843
735	2340	839
736	2344	836
737	2346	833
738	2350	830
739	2353	826
740	2356	823
741	2359	820
742	2361	816
743	2365	814
744	2368	810
745	2372	807
746	2375	804
747	2378	801
748	2381	798
749	2384	794
750	2387	791
751	2390	788
752	2393	785
753	2396	781
754	2399	778
755	2402	775
756	2405	772
757	2408	769
758	2412	766
759	2415	762
760	2418	759
761	2421	756
762	2424	752
763	2426	749
764	2429	746
765	2432	743
766	2434	739
767	2437	736
768	2440	733
769	2443	729
770	2446	726
771	2449	723
772	2452	720
773	2454	716
774	2457	713
775	2460	710
776	2463	707
777	2466	703
778	2469	700
779	2472	697
780	2475	694
781	2477	690
782	2480	687
783	2483	684
784	2486	681
785	2489	677
786	2492	674
787	2495	671
788	2498	668
789	2501	665
790	2505	661
791	2507	658
792	2511	655
793	2513	652
794	2517	649
795	2519	645
796	2523	642
797	2525	639
798	2528	636
799	2532	633
800	2535	629
801	2538	626
802	2542	623
803	2545	620
804	2548	617
805	2551	614
806	2554	610
807	2558	607
808	2561	604
809	2565	601
810	2568	598
811	2572	595
812	2575	592
813	2578	589
814	2582	586
815	2585	583
816	2589	579
817	2592	576
818	2596	573
819	2599	570
820	2603	567
821	2606	564
822	2610	561
823	2613	558
824	2616	555
825	2620	551
826	2623	548
827	2626	545
828	2630	542
829	2633	539
830	2636	536
831	2639	533
832	2642	529
833	2646	526
834	2650	523
835	2653	520
836	2656	517
837	2659	514
838	2663	511
839	2666	507
840	2669	504
841	2672	501
842	2675	498
843	2678	495
844	2682	491
845	2685	488
846	2688	485
847	2691	482
848	2694	479
849	2698	476
850	2700	472
851	2704	469
852	2707	466
853	2710	463
854	2714	460
855	2717	457
856	2721	454
857	2724	450
858	2727	447
859	2730	444
860	2734	441
861	2737	438
862	2740	435
863	2744	431
864	2747	428
865	2750	425
866	2754	422
867	2757	419
868	2761	416
869	2763	412
870	2766	409
871	2770	406
872	2773	403
873	2777	400
874	2781	397
875	2784	394
876	2787	390
877	2790	387
878	2793	384
879	2796	381
880	2799	378
881	2803	375
882	2806	371
883	2809	368
884	2812	365
885	2815	362
886	2819	359
887	2822	355
888	2824	352
889	2827	349
890	2830	346
891	2834	343
892	2836	339
893	2839	336
894	2842	333
895	2845	330
896	2848	327
897	2852	323
898	2855	320
899	2859	317
900	2862	314
901	2865	311
902	2869	308
903	2872	305
904	2875	301
905	2878	298
906	2882	295
907	2885	292
908	2889	289
909	2892	286
910	2895	282
911	2899	279
912	2902	276
913	2906	273
914	2909	270
915	2915	267
916	2918	264
917	2922	261
918	2925	257
919	2928	254
920	2933	251
921	2936	248
922	2939	245
923	2942	242
924	2945	238
925	2948	235
926	2951	232
927	2955	229
928	2957	226
929	2961	222
930	2964	219
931	2967	216
932	2970	213
933	2974	210
934	2978	207
935	2981	203
936	2984	200
937	2987	197
938	2990	194
939	2994	191
940	2997	187
941	3000	184
942	3003	181
943	3006	178
944	3009	175
945	3012	171
946	3015	168
947	3019	165
948	3022	162
949	3025	159
950	3028	156
951	3031	152
952	3035	149
953	3038	146
954	3042	143
955	3045	140
956	3048	136
957	3051	133
958	3055	130
959	3058	127
960	3061	124
961	3064	121
962	3067	117
963	3070	114
964	3074	111
965	3077	108
966	3080	105
967	3083	101
968	3086	98
969	3089	95
970	3093	92
971	3096	89
972	3099	86
973	3103	82
974	3107	79
975	3110	76
976	3113	73
977	3117	70
978	3120	66
979	3124	63
980	3128	60
981	3131	57
982	3134	54
983	3138	51
984	3141	47
985	3145	44
986	3149	41
987	3152	38
988	3156	35
989	3160	31
990	3164	28
991	3168	25
992	3171	22
993	3175	19
994	3178	15
995	3182	12
996	3185	9
997	3189	6
998	3192	3
999	3196	0
